

<++++Let's have some FUN++++>
P00015731A0090|72 85|acetazolamide
P01723962A0165|33 40|amylase
P01723962A0165|67 68|h
P01725547A0354|75 76|p
P01727494A0000|32 41|immunogen
P01735447A0271|23 31|molecule
P01736844T0000|19 31|testosterone
P01748292A0000|109 111|cv
P01754381A0000|14 18|step
P01756195A1117|101 102|p
P01761736A0158|186 187|P
P01761736A0158|87 88|P
P01762917A0615|100 106|TFIIIA
P01766876A0000|59 61|mu
P01770651T0001|115 124|thyroxine
P01774063A0161|179 183|Fshb
P01774063A0161|192 195|Ltk
P01779433A0694|216 219|Alu
P01779769A0000|37 38|c
P01782982A0155|98 107|histamine
P01783088A1136|152 163|fibronectin
P01784589A0000|41 45|role
P01785749A0695|44 49|group
P01788002T0001|34 35|B
P01808186A0984|0 4|Pigs
P01824713A0964|101 105|lack
P01825027T0000|0 4|PAS1
P01833185A0547|139 143|acid
P01840513A1019|210 214|acid
P01846803A0688|59 62|Tyr
P01856021A0577|161 168|toluene
P01857326A0160|16 21|group
P01864510A0946|29 30|h
P01871135A0295|133 140|protein
P01878755A0496|63 64|P
P01881671T0001|10 19|ofloxacin
P01886368A0000|121 125|pigs
P01889753A0441|16 18|nt
P01892680A0907|96 97|p
P01895370A0199|44 45|S
P01901859A0000|79 98|glycosyltransferase
P01903404A0688|175 176|p
P01903841A0125|42 52|spermidine
P01909960A0134|77 79|NA
P01909960A0134|62 75|noradrenaline
P01913955A0177|416 424|collagen
P01913955A0177|448 456|collagen
P01915580A0889|50 54|drug
P01918010A0000|20 23|LPL
P01923803A0609|18 28|isoleucine
P01963419A0501|182 183|p
P01963438T0000|63 74|polypyrrole
P01964989A0145|230 237|ammonia
P01964989A0145|146 161|sodium chloride
P01964989A0145|106 110|acid
P01968224A0119|284 291|leucine
P01970801A0925|116 119|arm
P01970801A0925|60 64|OSBP
P01970984A0668|70 71|T
P01971191A1271|199 208|histamine
P01974550A0362|73 92|ipratropium bromide
P01983026A0483|65 68|min
P01985924A0554|163 167|urea
P01986360A0000|259 264|probe
P01989999A0000|168 171|AMP
P01989999A0000|90 94|role
P02001033A1907|176 186|desflurane
P02024791A0582|157 158|P
P02027839A0250|61 62|P
P02033038A0309|127 129|E3
P02036066A0000|104 107|PHP
P02038784A0317|20 23|ARC
P02044975A0380|100 101|h
P02044975A0380|144 147|min
P02044975A0380|63 64|P
P02052544A0641|153 157|DPB2
P02062116A0688|13 40|monoamine oxidase inhibitor
P02065022A0747|95 98|dbl
P02083199A1175|120 124|EGFR
P02088781A0653|46 50|base
P02107073A0584|174 179|STE18
P02110148A0423|202 207|probe
P02113699A0372|107 109|IM
P02113699A0372|254 255|N
P02113699A0372|50 51|N
P02113699A0372|179 180|N
P02116071A0000|160 167|antigen
P02120707A0594|81 82|W
P02121371T0000|24 31|protein
P02122454A1042|163 171|molecule
P02123295A0645|14 18|ARF2
P02123467A0811|103 106|Sp1
P02123467A0811|209 212|Sp1
P02123820A0000|50 59|inhibitor
P02125153A0410|158 170|streptomycin
P02131666A0483|17 22|group
P02133731A1572|129 130|p
P02137704A0000|200 201|h
P02137704A0000|19 24|group
P02137704A0000|151 152|h
P02142240A0506|157 162|group
P02146266A0000|126 131|sod-1
P02149487A0348|147 159|testosterone
P02149566A0478|180 181|P
P02151229A0921|129 130|p
P02153683A1579|115 121|ATPase
P02153683A1579|63 70|ankyrin
P02156828A0164|172 179|protein
P02158927A0000|153 157|RAD7
P02158927A0000|115 119|CYC1
P02158927A0000|93 100|cluster
P02158927A0000|121 125|UTR1
P02159470A1432|112 116|role
P02162103A0000|205 206|A
P02162103A0000|200 204|poly
P02164585A0814|145 152|leucine
P02166040A0385|256 274|phosphotransferase
P02167321T0000|220 233|phorbol ester
P02167784A0109|108 111|min
P02174974A0000|170 178|m-xylene
P02176822A0000|126 132|serine
P02179815A0582|124 127|CEF
P02180935A0535|44 47|min
P02182240A0355|63 70|heparin
P02182618A0168|101 104|CAT
P02183467A0668|236 237|W
P02187091A0721|167 168|P
P02194972T0000|34 36|HR
P02196311A1034|102 105|RNL
P02196565A0606|85 89|RAP1
P02204625A1130|20 25|group
P02204625A1130|88 95|insulin
P02209540A1362|16 20|Ets1
P02209540A1362|25 29|Ets2
P02209811T0000|12 22|peroxidase
P02213566A0000|38 47|captopril
P02213566A0000|15 27|coenzyme Q10
P02223773A0000|58 65|protein
P02233715A0914|216 218|GR
P02233729A1065|24 28|Dhfr
P02237431A0000|75 76|T
P02247072A0794|58 65|protein
P02247924A0078|57 71|amphotericin B
P02248732A1113|182 184|NA
P02252891T0000|14 21|protein
P02253663A0687|112 113|h
P02257899T0000|61 64|man
P02264601A0000|71 78|alcohol
P02264601A0000|91 92|P
P02265055A0417|25 35|atracurium
P02269426A0428|27 30|TAR
P02270096T0000|41 52|nitrosamine
P02273690T0001|11 20|cisapride
P02281948A0245|92 99|sucrose
P02283873A0308|10 15|group
P02289639A0989|119 120|p
P02291144A0493|20 21|r
P02293019A0000|35 38|mol
P02293019A0000|60 67|protein
P02298741A0809|232 239|protein
P02300541A0000|167 177|surfactant
P02306539T0000|51 55|food
P02308496A0000|99 106|insulin
P02308496A0000|75 78|STH
P02308496A0000|184 191|mixture
P02312470A0774|39 43|urea
P02323517A0557|8 9|h
P02324102A1157|76 88|proteoglycan
P02327159T0001|0 4|Lars
P02329840A0383|4 15|application
P02339447A0162|182 183|A
P02342477A1292|165 172|mannose
P02354381A0207|153 154|H
P02354381A0207|88 89|S
P02357537A0451|72 80|naloxone
P02361812A1110|159 160|D
P02361812A1110|209 210|P
P02370571A0663|221 222|s
P02372496A0782|26 37|angiotensin
P02372712A0002|85 99|carbon dioxide
P02372712A0002|20 22|TW
P02372712A0002|15 18|tap
P02383693A0301|97 109|Triton X-100
P02386485A0554|158 159|A
P02393895A0918|112 113|r
P02402678A0463|96 101|water
P02403926A0307|153 162|threonine
P02405393T0000|61 65|ETS2
P02417669A0218|116 126|asparagine
P02417669A0218|128 138|metabolite
P02417669A0218|74 78|acid
P02418701A0000|75 82|antigen
P02427812A0865|36 45|clonidine
P02437792T0000|39 45|lipase
P02437792T0000|30 37|amylase
P02442837A0060|128 151|calcium channel blocker
P02442837A0060|62 85|calcium channel blocker
P02449431A1121|70 74|dATP
P02456827A0899|109 112|Ba2
P02457922A0991|19 24|probe
P02459309T0000|67 71|acid
P02459309T0000|31 40|serotonin
P02462305A1071|141 152|polypeptide
P02464097T0000|37 48|thromboxane
P02466414A0000|243 246|mol
P02466665A0202|22 29|protein
P02468795A1086|102 103|r
P02473693A0174|47 54|protein
P02473718A0000|100 113|catecholamine
P02474110A1039|64 75|angiotensin
P02482293A1518|119 122|EGF
P02482293A1518|46 49|TNF
P02483210A0000|48 55|amylase
P02485188A0415|198 199|p
P02485188A0415|325 326|p
P02485188A0415|151 156|group
P02505087A1037|108 112|GCN4
P02505087A1037|47 50|Fos
P02507523A0791|87 91|ORF1
P02529378A0536|160 163|SP1
P02532032A0385|37 48|aldosterone
P02532210A0000|34 41|protein
P02534067A0316|224 236|androsterone
P02537485A0841|31 39|naloxone
P02542612A0530|132 133|Z
P02543679A1291|84 88|DnaJ
P02547706A0928|4 15|application
P02549036A0000|98 105|protein
P02549343A1008|233 244|polypeptide
P02555177A0488|16 20|LEU2
P02555519A0798|68 72|CDR3
P02562787A0637|23 30|protein
P02562787A0637|47 51|CNBP
P02562825A0413|72 73|p
P02574193A0663|270 278|diazepam
P02575959A0643|104 106|T2
P02576405A0223|67 76|melphalan
P02590391A0442|109 133|phosphatidylethanolamine
P02590391A0442|88 107|phosphatidylcholine
P02590615A0636|140 150|nifedipine
P02592640A0466|20 27|retinol
P02597484A0624|52 54|De
P02597549A0964|66 78|dipyridamole
P02599995A1031|70 80|penicillin
P02601707A0986|200 201|A
P02605182A0936|145 156|polypeptide
P02607766A0000|287 289|Hg
P02630543A0210|114 115|T
P02630543A0210|110 111|T
P02630543A0210|123 124|T
P02632904A0619|92 93|p
P02638964A0372|109 114|water
P02648396A0565|100 107|agarose
P02666404A0220|260 266|xylose
P02674141A1202|12 28|cysteine residue
P02677002A0205|44 47|ATP
P02680843A0724|10 21|application
P02685461A0380|60 65|group
P02686588A0592|125 130|group
P02691557A0273|56 57|h
P02692881A0354|258 262|acid
P02702849A0418|99 100|g
P02704579A1078|138 139|P
P02714852T0000|21 26|HLA-B
P02727909A0383|186 189|HLP
P02733690T0000|86 95|reductase
P02735364A1330|113 114|p
P02735364A1330|159 160|p
P02735364A1330|27 28|p
P02740627A0137|156 160|PAO2
P02743842A0000|360 364|acid
P02744123A0237|83 86|man
P02745280A0276|178 187|phosphate
P02745280A0276|210 213|ATP
P02747653A0910|22 29|protein
P02748188A0091|129 134|group
P02748188A0091|30 35|group
P02752651A0480|162 164|Th
P02757033A0905|78 81|arm
P02758382A0478|162 166|SHBG
P02758382A0478|208 217|estradiol
P02764797A0182|84 86|rf
P02766330A0779|144 155|application
P02774271A0000|179 187|fluoride
P02774808A0194|36 37|P
P02775136A1151|262 265|AMS
P02775136A1151|150 153|AMS
P02776823A0000|147 152|penem
P02779752A0776|220 232|methysergide
P02779752A0776|257 267|ketanserin
P02793216A0876|19 23|lack
P02796988A0735|127 130|Sp1
P02800417A0332|7 12|group
P02800417A0332|121 122|r
P02806916A0000|247 252|probe
P02814820A0967|209 210|p
P02820128A1670|211 218|insulin
P02821340A0434|29 32|DCR
P02831556A0173|130 138|morphine
P02831556A0173|72 76|pain
P02834843A0000|169 179|rifampicin
P02838319A0527|64 65|p
P02844767A0596|99 110|polypeptide
P02845654A0510|168 189|phenylalanine residue
P02849100A0441|82 90|molecule
P02861067A0000|66 77|ipratropium
P02868848A0167|136 144|imipenem
P02868848A0167|9 19|vancomycin
P02877124A0000|197 210|phenothiazine
P02877124A0000|444 453|indicator
P02877124A0000|178 193|trifluoperazine
P02878100A0674|114 123|diltiazem
P02883327A0413|128 129|L
P02883871A1075|2 6|drug
P02889352A0000|136 152|enzyme inhibitor
P02906249A1195|13 18|group
P02918474A0817|8 17|verapamil
P02926499A0340|194 199|decay
P02926499A0340|210 213|rho
P02928112T0000|65 72|protein
P02928376A0312|69 71|H2
P02934778A0702|35 40|5-HT2
P02936284A0357|158 161|min
P02939260A1553|95 105|methionine
P02949170A0184|187 191|SHBG
P02958204A0175|225 237|isotretinoin
P02958204A0175|30 42|isotretinoin
P02969316A0002|100 107|peptide
P02969316A0002|226 227|h
P02970061A0271|44 51|protein
P02971710A0734|162 164|CO
P02971710A0734|18 19|S
P02975680A0000|168 171|GAD
P02983331T0000|15 19|role
P02989637A0671|294 305|aldosterone
P02994336A0864|0 2|FK
P02998043A1199|137 141|acid
P02999267A0885|198 200|GS
P03000457A1554|43 44|t
P03001110A0546|195 204|phosphate
P03001952A0958|164 173|acyclovir
P03004364A0775|62 65|ADM
P03008094A0697|27 38|polypeptide
P03009366A0438|141 151|surfactant
P03013477A0000|250 255|group
P03017996A0731|132 139|protein
P03023682A0271|91 94|CAT
P03023859A0000|164 169|probe
P03023887A0470|181 183|Sa
P03025862A0860|134 138|poly
P03027905A0632|78 88|lisinopril
P03031602A1001|11 16|group
P03034570A0943|148 158|hygromycin
P03034956A0666|162 163|P
P03034956A0666|150 160|prednisone
P03039387A0920|185 201|cyclophosphamide
P03059171A1232|70 81|ticlopidine
P03062370A0000|44 54|amino acid
P03065621T0000|95 102|protein
P03069980T0000|67 74|ionomer
P03073091A0449|11 18|glucose
P03076124A0496|70 74|acid
P03076124A0496|165 175|lovastatin
P03090237A0202|193 196|key
P03091849A0000|161 169|fixative
P03098018A0139|35 37|cm
P03102289A0786|143 145|cm
P03104245A0402|90 91|p
P03109147A0000|143 146|und
P03110119A0267|144 147|tip
P03110692A0156|41 42|P
P03110746A0146|168 173|group
P03114188A0907|169 171|Gy
P03115787A0633|80 89|cisplatin
P03119227A0079|27 34|protein
P03123983T0000|4 8|role
P03125422A0202|124 133|galactose
P03133250A0000|149 156|hormone
P03146017A0983|192 195|mol
P03146150T0000|87 94|heparin
P03167060A0000|53 64|polypeptide
P03181276A0422|66 67|h
P03190481A0292|28 36|esterase
P03192537A0370|23 33|amino acid
P03192537A0370|213 220|protein
P03198525A0164|155 158|MGA
P03198525A0164|121 124|MGA
P03207975A0709|83 90|vitamin
P03214709A0559|163 168|group
P03214709A0559|121 126|group
P03249840A0411|55 56|s
P03280807A0000|145 152|proline
P03282813A0794|206 207|p
P03282813A0794|146 147|r
P03285764A0675|169 177|cofactor
P03285764A0675|142 146|role
P03296212A0603|28 38|interferon
P03297181A0127|115 117|SR
P03297181A0127|77 94|quinidine sulfate
P03312033A0501|109 118|cefazolin
P03312514A0756|217 222|group
P03319646T0000|72 86|chlorthalidone
P03322829A0952|16 21|group
P03325081A0524|108 111|PBK
P03329716A0187|128 141|phorbol ester
P03335444A0000|77 79|Pu
P03337024A0000|73 85|procainamide
P03340548A1018|119 137|lipopolysaccharide
P03340548A1018|80 83|Cd2
P03340726A1103|122 124|Gy
P03340774A0328|152 154|Gy
P03340774A0328|142 145|rad
P03346210A0000|29 32|EGF
P03348382A0785|15 22|ouabain
P03354341A0177|174 178|acid
P03355122A0238|86 89|min
P03355122A0238|127 128|h
P03360948A0477|119 122|CAP
P03360948A0477|12 15|CAP
P03366720A1335|120 127|glucose
P03372422A0558|40 42|Ar
P03378994T0000|26 40|sodium cyanate
P03395164A0000|59 61|FU
P03398714A0594|99 106|radical
P03398823A0459|127 135|p-xylene
P03403480A0299|211 218|mineral
P03428274A0000|32 39|protein
P03434347A0358|80 84|side
P03436877A0950|138 139|r
P03436877A0950|109 110|c
P03436877A0950|219 220|P
P03436877A0950|148 149|P
P03443566A0675|87 89|CR
P03443573A0329|142 143|g
P03443609A0000|4 8|role
P03451761A0215|102 106|base
P03476002A0148|41 50|vitamin C
P03517388A0763|95 96|p
P03534581A0976|68 73|group
P03534581A0976|103 114|doxorubicin
P03534581A0976|120 136|cyclophosphamide
P03537721A0491|90 94|GAL4
P03537727A0243|9 10|A
P03537727A0243|91 98|protein
P03540591A0330|135 142|protein
P03544858A0374|56 63|insulin
P03545955A0751|102 109|sucrose
P03545955A0751|70 77|glucose
P03545955A0751|115 122|glucose
P03545955A0751|125 133|fructose
P03549045A0878|80 85|group
P03549045A0878|29 38|verapamil
P03568311A0273|80 83|RAP
P03568311A0273|89 92|IPP
P03568311A1361|127 128|r
P03568311A1361|147 148|r
P03597218A0901|47 56|inhibitor
P03597218A0901|297 298|P
P03597269A0409|81 82|b
P03602261A0238|284 292|dopamine
P03602261A0238|86 87|p
P03602261A0238|353 354|r
P03602261A0238|294 295|r
P03602261A0238|147 155|dopamine
P03602261A0238|211 212|r
P03612648A0085|119 130|cardiolipin
P03615550A1094|108 116|naloxone
P03616237T0001|48 57|cisplatin
P03618039A0126|47 57|adrenaline
P03622423A0000|177 194|methyl isocyanate
P03625762A0308|33 42|phenytoin
P03653226A0833|111 122|perhexiline
P03659805A0404|69 72|uni
P03664038A0000|109 112|GSS
P03676054A0865|3 8|group
P03684378A0653|72 83|cholesterol
P03685073A0200|26 39|physostigmine
P03692331A0000|34 44|antagonist
P03709627A0247|144 145|h
P03714348A0833|56 59|CIC
P03717936A0252|33 43|tobramycin
P03732252A0556|120 121|r
P03736081A0465|312 313|p
P03736081A0465|430 431|p
P03759731A0992|51 53|m2
P03759731A0992|95 100|group
P03759731A0992|91 93|m2
P03771749A0465|50 60|miconazole
P03776438A0000|100 117|mineralocorticoid
P03780248A0274|71 76|group
P03789052A0527|140 155|tissue adhesive
P03791645A1124|84 87|MAL
P03811852A0109|149 156|agonist
P03818866A0116|84 85|r
P03818866A0116|94 95|p
P03820222A0203|142 147|group
P03824908A0116|68 78|nucleotide
P03824908A0116|111 117|lysine
P03826871A0000|3 6|ion
P03830147A0000|531 534|min
P03838797A0903|39 54|oligonucleotide
P03860162A0000|21 28|polyene
P03860162A0000|40 54|amphotericin B
P03863561A0405|112 113|p
P03878585A0507|100 101|r
P03878585A0507|192 193|r
P03878585A0507|328 329|r
P03922116A0197|161 166|group
P03929486A0309|172 173|D
P03929486A0309|226 228|SR
P03930549A0209|62 66|acid
P03937481T0001|62 66|acid
P03940426A0618|188 191|fir
P03944212A0166|146 147|h
P03952387A0336|99 112|oxyhemoglobin
P03953361A0000|184 195|lactic acid
P03953361A0000|27 38|propranolol
P03963860A0137|89 94|group
P03977603A0326|80 92|indomethacin
P03978045A0857|91 94|VWF
P03980386A0000|46 57|angiotensin
P03992022A0330|190 200|cimetidine
P03992022A0330|22 32|cytochrome
P03995513T0000|43 59|cyclophosphamide
P04002131A0506|119 120|P
P04011338A0620|146 147|p
P04018444A0000|17 21|acid
P04018444A0000|97 100|man
P04019066A0000|177 186|halothane
P04021305A0530|122 130|dopamine
P04024685A0650|204 206|ml
P04024685A0650|168 169|p
P04024685A0650|336 338|ml
P04024685A0650|280 282|ml
P04024685A0650|319 321|ml
P04024685A0650|164 166|cm
P04024685A0650|223 225|ml
P04025179A0955|3 8|group
P04026903A0512|175 184|histamine
P04026903A0512|218 227|carbachol
P04026903A0512|160 173|acetylcholine
P04032268A0358|150 154|drug
P04036838A0918|87 88|r
P04036838A0918|97 98|p
P04038702A0768|162 170|cortisol
P04039307A0613|35 36|P
P04039307A0613|3 4|d
P04039307A0613|10 22|progesterone
P04041307A0614|86 96|isoflurane
P04041346T0000|42 51|quinidine
P04052919A0205|373 382|indicator
P04056256A0416|217 218|p
P04058985A0000|23 33|vitamin B6
P04061342A0512|154 155|p
P04066194A0163|140 143|ear
P04071063A0863|197 202|group
P04075061A0355|33 34|L
P04075061A0355|38 43|water
P04082267A0720|72 74|Ae
P04084607A0663|36 37|T
P04086403A1016|22 23|P
P04101003T0001|82 85|man
P04138224T0095|33 42|vitamin A
P04214345T0000|53 60|glucose
P04428800T0001|43 46|LAP
P04437406T0000|70 81|application
P04495034T0000|13 26|methylbenzene
P04656185T0000|87 94|glucose
P04712626T0000|61 70|xanthones
P04730467T0000|11 20|cortisone
P04796997T0000|54 81|medroxyprogesterone acetate
P04813394T0000|39 46|reagent
P04813394T0000|14 33|1,10-phenanthroline
P04942414T0000|35 49|5-fluorouracil
P04999086T0001|115 118|man
P05015678T0000|33 43|porphyrins
P05020660T0000|52 66|chlorpromazine
P05120197T0000|29 33|pigs
P05132558T0000|46 57|theobromine
P05177935T0001|33 38|group
P05274128T0001|31 44|galactosamine
P05284310T0000|16 24|fluoride
P05388567T0000|30 43|aminophylline
P05410590T0000|21 25|acid
P05424220T0001|92 96|food
P05437405T0000|103 106|man
P05445187T0000|69 74|water
P05466177T0001|23 36|actinomycin D
P05594277T0051|77 85|peroxide
P05671267T0000|64 71|azepine
P05758469T0001|24 27|man
P05763347T0000|70 81|propranolol
P05794247T0000|10 17|heparin
